form,syl_count,meaning,derivation_mask,noun,verb,adjective,adverb,consensus_prefix,is_function_word,is_compound,compound_type,notes
mekri,2,few of the / few / rare / less,NAD,mekri,,mekris,mekris,o-,false,false,,
meki,2,majority / major / most / mostly,NAD,meki,,mekis,mekis,o-,false,false,,
eski,2,each,,,,,,o-,true,false,,
amin,2,any,,,,,,o-,true,false,,
naram,2,none / not any / nihility,N,naram,,,,o-,false,true,mono,
niba,2,new things / youth / new / young / newly,NAD,niba,,nibas,nibas,u-,false,false,,
noba,2,old things / elder / old / elderly,NA,noba,,nobas,,u-,false,false,,
hik,1,sadness / upset / to upset / sad / upset / sadly,NVAD,hik,hik,hiks,hiks,i-,false,false,,
asdo,2,knowledge / know / known / knowing / knowingly,NVAD,asdo,asdo,asdos,asdos,o-,false,false,,
thy,1,thinking / think,NV,thy,thy,,,e-,false,false,,
argonna,3,love / love / loving / in a way that display love,NVAD,ajrgonna,avrgonna,argojnna,argovnna,e-,false,false,,-na in here does not relared to acc case suffix -na
wamy,2,fear / fear or be afraid / afraid,NVA,wamy,wamy,wamys,,y-,false,false,,
losga,2,anger / rage / to rage / angry / angrily,NVAD,losga,losga,losgas,losgas,a-,false,false,,
losto,2,joy / happiness / make someone to be joyful or happy / joyful / happy / joyfully / happily,NVAD,losto,losto,lostos,lostos,e-,false,false,,
hax,1,pain / suffering,NVAD,hax,hax,,,ae-,false,false,,
roi,1,day / daily / daily,NAD,roi,,rois,rois,a-,false,false,,
rok,1,"night / dim, dusky",NA,rok,,roks,,y-,false,false,,
tar,1,dusk / sunset / end of the day / dusky / leisurely,NA,tar,,tars,,a-,false,false,,
ima,2,the present moment or time / now / immediately / used to give an explanation of a new situation,ND,ima,,,imas,o-,false,false,,
tilpi,2,before,,,,,,ae-,true,false,,
tilpa,2,after,,,,,,ae-,true,false,,
thin,1,here / this,D,,,,thins,o-,false,false,,
tha,1,there / that,D,,,,thas,o-,false,false,,
poska,2,"place / locality, location / to locate / locational",NVA,poska,poska,poskas,,ae-,false,false,,
ik,1,entrance / get inside sth,NV,ik,ik,,,o-,false,false,,
ouk,1,get out / not at the place or at home,VA,,ouk,ouks,,o-,false,false,,
um,1,down / under,D,,,,ums,o-,false,false,,
hau,1,back,NAD,hau,,,,ae-,false,false,,
pau,1,front / to face or be next to / front,NVA,pau,pau,paus,,ae-,false,false,,
hin,1,side,N,hin,,,,ae-,false,false,,
oran,2,"along, moving forward",D,,,,orans,ae-,false,false,,
meipo,2,in a position or direction surrounding,D,,,,meipos,ae-,false,false,,
orak,2,across / in every part of particular place,,,,,,o-,true,false,,
inou,2,through / via,,,,,,o-,true,false,,
tlow,1,"time / current situation / current / repetition usage to have a meaning of ""sometimes..., sometimes...""",NAD,tlow,,tlows,tlows,o-,false,false,,
shu,1,soon,D,,,,shus,o-,false,false,,
sar,1,late / lately,AD,,,sars,sars,o-,false,false,,
cho,1,early / early,AD,,,chos,chos,o-,false,false,,
amo,2,because,,,,,,o-,true,false,,
fou,1,during,,,,,,o-,true,false,,
founai,2,duration,N,founai,,,,ae-,false,false,,
sakar,2,occurrence / frequency / frequent / frequently,NAD,sakar,,sakars,sakars,ae-,false,false,,
esa,2,all / every one / complete / completely,AD,,,esas,esas,o-,false,false,,
srote,2,"some / unknown amount or number of, or being a part of something",A,,,slotes,,o-,false,false,,
numin,2,name / to name / famous or well-known / namely / measure word for human nouns (e.g. people),NVAD,numin,numin,numins,numins,o-,false,false,,
berat,2,word / speech / wordy,NA,berat,,berats,,o-,false,false,,
song,1,friend / cooperate / friendly,NVA,song,song,songs,,a-,false,false,,
loger,2,power / strength / to power / powerful,NVA,loger,loger,logers,,a-,false,false,,
eli,2,life / alive,NA,eli,,elis,,a-,false,false,,
mil,1,death / die / give up / dead / blocked or impassable / unchangeable / stubborn / extremely,NVAD,mil,mil,mils,mils,a-,false,false,,
maekoi,2,spirit / soul / spiritual,NA,maekoi,,maekois,,o-,false,false,,
noi,1,void / emptiness / remove everything / empty,NVA,noi,noi,nois,,o-,false,false,,
sinkoi,2,alone / solitude / lonely,NAD,sinkoi,,sinkois,sinkois,i-,false,false,,
ilsinkoi,3,gathering / gather / together (with each other),NVD,ijlsinkoi,ivlsinkoi,,ilsivnkoi,a-,false,true,mono,
pireilu,3,property / quality,N,pijreilu,,,,o-,false,false,mono,
rinok,2,measure / to measure,NV,rinok,rinok,,,o-,false,false,,Source root for measure suffix -rin
chap,1,act / deed / act,NV,chap,chap,,,o-,false,false,,
param,2,"result / result in, cause",NV,param,param,,,e-,false,false,,
lokisra,3,doctrine / system of thought,N,lojkisra,,,,o-,false,true,mono,
isra,2,idea / ideal,NA,isra,,isras,,o-,false,false,,
narau,2,without / lack / lack / lacking,NVA,narau,narau,naraus,,o-,false,false,,
auli,2,comet / broom,N,auli,,,,i-,false,false,,
wino,2,"colour / hue / to colour / landscape, scenery / colourful",NVA,wino,wino,winos,,u-,false,false,,
res,1,"copula - identity (i.e. is, am, are) / attribution",,,,,,o-,true,false,,
os,1,existential & possession - there is / have,,,,,,o-,true,false,,
nar,1,clausal / constituent negation (e.g. not),,,,,,o-,true,false,,
iu,1,yes / yes/no question / affirmative answer,,,,,,o-,true,false,,
na,1,negative answer (no),,,,,,o-,true,false,,
te,1,dative particle (to) & spatial root (towards),,,,,,o-,true,false,,
we,1,very,D,,,,wes,o-,false,false,,
mere,2,be slight (intensity),D,,,,meres,o-,false,false,,
pere,2,small amount of,A,,,peres,,o-,false,false,,
tor,1,comparative particle (than),,,,,,o-,true,false,,
les,1,equative particle (as),,,,,,o-,true,false,,closed-class; toneless; -s exempt
torra,2,superlative particle (most),,,,,,o-,true,false,,fused from tor + rap
wetor,2,intensified comparative (much more than),,,,,,o-,true,false,,closed-class; toneless; -s exempt; fused from wes + tor
mangus,2,restrictive (among / among all),,,,,,o-,true,false,,closed-class; toneless; -s exempt
rap,1,top / peak / top / peaky,NA,rap,,raps,,ae-,false,false,,
hu,1,wind / blow / to blow / windy,NVA,hu,hu,hus,,i-,false,false,,
hupli,2,rain / rain falls / rainy,NVA,hupli,hupli,huplis,,i-,false,false,,
shili,2,river,N,shili,,,,i-,false,false,,
blusa,2,wave / wave / wavely,NVA,blusa,blusa,blusas,,i-,false,false,,-sa in here not related to case suffix -sa
wonli,2,sea / inland sea or great lake / large amount of,NA,wonli,,wonlis,,i-,false,false,,
wonir,2,"ocean / vast, boundless",NA,wonir,,wonirs,,i-,false,false,,
liforli,3,flood / to flood / flooded,NVA,lijforli,livforli,lifojrli,,i-,false,false,,
aron,2,season / seasonly,NA,aron,,arons,,u-,false,false,,
apar,2,spring / exuberant / spring,NA,apar,,apars,,u-,false,true,mono,irregular contraction: apa + tlar → apar
gustar,2,summer / torrid,NA,gustar,,gustars,,u-,false,true,mono,
choumar,2,autumn / year / autumnal / melancholy,NA,choumar,,choumars,,u-,false,true,mono,irregular contraction: choum + tlar → choumar
fossar,2,winter / withering / cold,NA,fossar,,fossars,,u-,false,true,mono,
maur,1,second / arc second / one in sixty,NA,maur,,maurs,,ae-,false,false,,
faur,1,minute,N,faur,,,,ae-,false,false,,
tlaur,1,hour / hourly / hourly,NAD,tlaur,,tlaurs,tlaurs,ae-,false,false,,
taroi,2,week / weekly,NA,taroi,,tarois,,ae-,false,false,,
gauroi,2,ten-day / one-third of / one-third,NA,gauroi,,gaurois,,ae-,false,true,mono,
yra,2,month / monthly / monthly,NAD,yra,,yras,yras,ae-,false,false,,
ron,1,"year / age / a particular period in the life (e.g. childhood, teenage) / yearly, annual / annually",NAD,ron,,rons,rons,ae-,false,false,,
gauron,2,decade / once in a decade,NA,gauron,,gaurons,,ae-,false,false,,
curon,2,century / once in a century,NA,curon,,curons,,ae-,false,false,,
gus,1,heat / hotness / to heat / hot / hotly,NVAD,gus,gus,guss,guss,a-,false,false,,
fem,1,cool,A,,,fems,,o-,false,false,,
fos,1,ice / to freeze / frozen / icy,NVA,fos,fos,foss,,i-,false,false,,
fosli,2,snow / snow falls / snowy,NVA,fosli,fosli,foslis,,i-,false,true,mono,
foske,2,frost / to frost / frosty,NVA,foske,foske,foskes,,i-,false,true,mono,
foshu,2,blizzard,N,foshu,,,,i-,false,true,mono,
fosgilan,3,iceberg,N,fojsgilan,,,,y-,false,true,mono,
fos blon,2,avalanche,N,fos blon,,,,i-,false,true,multi,
foskaera,3,frozen soil,N,fojskaera,,,,ae-,false,true,mono,
blon,1,collapse / collapse / collapsing,NVA,blon,blon,blons,,o-,false,false,,
hup,1,fall / decrease / to fall / decrease the amount of sth / falling / decreasing / decreasingly,NVAD,hup,hup,hups,hups,o-,false,false,,
rolifor,3,excess / overdo / excessive / excessively,NVAD,rojlifor,rovlifor,rolijfor,rolivfor,o-,false,false,,
aus,1,start-of,N,aus,,,,o-,false,false,,
oug,1,end / ending / to end / ending,NVA,oug,oug,ougs,,o-,false,false,,
nous,1,end-of,N,nous,,,,o-,false,false,,Full-root form of suffix -ous.
taroinous,3,weekend,N,tajroinous,,,,ae-,false,true,mono,
faure,2,5min,N,faure,,,,ae-,false,false,,
tlaurhak,2,30min,N,tlaurhak,,,,ae-,false,true,mono,
afaloi,3,ability / able to / capable,NVA,ajfaloi,avfaloi,afajloi,,o-,false,false,,
sew,1,can,V,,sew,,,o-,false,false,,
hostak,2,"must / something that is necessary / something that is a must to do it, have it, or see it",NA,hostak,hostak,hostaks,,o-,false,false,,
mug,1,sth that is wanted / want,NV,mug,mug,,,u-,false,false,,
som,1,need,V,,som,,,o-,false,false,,
shunle,2,should,V,,shunle,,,o-,false,false,,
hostakes,3,certainly / must have (deduction),D,,,,hostavkes,o-,false,true,mono,
sewanes,3,might / perhaps / could be,D,,sevwanes,,sewavnes,o-,false,false,,
bamares,3,would have (counterfactual),D,,,,bamavres,o-,false,true,mono,
chorogor,3,good morning,N,chojrogor,,,,a-,false,true,mono,
sarrogor,3,good afternoon,N,sajrrogor,,,,a-,false,true,mono,
targor,2,good evening,N,targor,,,,a-,false,true,mono,
rokgor,2,good night,N,rokgor,,,,y-,false,true,mono,
pem,1,inclusive or (either or both),,,,,,o-,true,false,,
pona,2,xnor (both or neither),,,,,,o-,true,false,,
pemna,2,nor (neither...nor),,,,,,o-,true,false,,
sor,1,suggestion particle (sentence-final),,,,,,o-,true,false,,
chom,1,polite request particle (pre-verbal),,,,,,o-,true,false,,
maug,1,strong prohibition particle (pre-verbal),,,,,,o-,true,false,,
gin,1,progressive aspect (be X-ing),,,,,,o-,true,false,,
ger,1,perfective aspect (have X-ed),,,,,,o-,true,false,,
gou,1,experiential aspect (have X-ed before),,,,,,o-,true,false,,
hei,1,hello / hey (vocative) / hello,NAD,hei,,heis,,o-,false,false,,
shen,1,self (reflexive),N,shen,,,,a-,false,false,,
meshen,2,each other / reciprocal,A,,,meshens,,a-,false,false,,
mer,1,comitative particle (with),,,,,,o-,true,false,,
sy,1,instrumental & passive particle (by / with),,,,,,o-,true,false,,
ar,1,ablative particle (from),,,,,,o-,true,false,,
tilpe,2,locative-relational particle (between),,,,,,o-,true,false,,
ei,1,coordinator (and),,,,,,o-,true,false,,
po,1,exclusive or (either but not both),,,,,,o-,true,false,,
amer,2,adversative (but / however),,,,,,o-,true,false,,
tu,1,temporal subordinator (when / while),,,,,,o-,true,false,,
li,1,conditional subordinator (if),,,,,,o-,true,false,,
bam,1,consequential particle (then / 便 / 就),,,,,,o-,true,false,,
aiga,2,again,D,,,,aigas,o-,false,false,,
hoskar,2,concessive subordinator (although),,,,,,o-,true,false,,
arfi,2,concessive intensifier (even),,,,,,o-,true,false,,
fidak,2,purpose subordinator (in order to),,,,,,o-,true,false,,
kus,1,relativizer & complementizer (that / which),,,,,,o-,true,false,,
halise,3,piety; religious devotion / to pray in a formal way / prayerful; devout / prayerfully; with devotion,NVAD,hajlise,havlise,halijse,halivse,e-,false,true,mono,
min,1,let (permissive),V,,min,,,o-,false,false,,
mingo,2,make / to force,V,,mingo,,,o-,false,false,,
ma,1,mom / mommy,N,ma,,,,a-,false,false,,
mamae,2,mother,N,mamae,,,,a-,false,false,,
fa,1,dad / daddy,NA,fa,,fas,,a-,false,false,,
famae,2,father,N,famae,,,,a-,false,false,,
lorrak,2,language,N,lorrak,,,,o-,false,false,,
wug,1,dog / sound made by dog barking / bark,NV,wug,wug,,,a-,false,false,,
mau,1,cat / sound made by cat,N,mau,,,,a-,false,false,,
onla,2,leaves / leaves-shape / light in weight,NA,onla,,onlas,,u-,false,false,,
walunla,3,forest / densely and numerously,ND,wajlunla,,,waluvnla,u-,false,true,mono,
rori,2,"sunrise, dawn",N,rori,,,,a-,false,false,,
aura,2,celestial object / celestial,NA,aura,,auras,,i-,false,false,,
auron,2,sky,N,auron,,,,i-,false,false,,
aurok,2,cosmic/space / cosmic / night sky,NA,aurok,,auroks,,i-,false,true,mono,
auronte,3,dome / canopy / sky,N,aujronte,,,,i-,false,true,mono,
thung,1,swim,V,,thung,,,e-,false,false,,
latif,2,healing / to save or rescue / to heal / safe / healing,NVA,latif,latif,latifs,,a-,false,false,,
argonnia,4,grace / grateful,NA,argojnnia,,argonnija,,u-,false,false,,-nia in here does not related to the derivational suffix -nia
miso,2,music / musical / harmonic,NA,miso,,misos,,u-,false,false,,
bop,1,bottom / bottom,NA,bop,,bops,,ae-,false,false,,
hap,1,right,NAD,hap,,,,ae-,false,false,,
fim,1,left side / left / left,NAD,fim,,fims,fims,ae-,false,false,,
arrin,2,distance / to make sth far off in position or nature / distant / distantly,NVAD,arrin,arrin,arrins,arrins,o-,false,false,,
hak,1,half hour(i.e. 30 mins) in informal ways / half amount as usual / make sth half amount / half as much or as many / at half amount or extent,NVAD,hak,hak,haks,haks,o-,false,false,,
hakdo,2,one-fourth amount as usual / make sth one-fourth amount / one-fourth as much or as many / at one-fourth amount or extent,NVAD,hakdo,hakdo,hakdos,hakdos,o-,false,true,mono,
hakfoi,2,one-eighth amount as usual / make sth one-eighth amount / one-eighth as much or as many / at one-eighth amount or extent,NVAD,hakfoi,hakfoi,hakfois,hakfois,o-,false,true,mono,
hakauk,2,one-sixteenth amount as usual / make sth one-sixteenth amount / one-sixteenth as much or as many / at one-sixteenth amount or extent,NVAD,hakauk,hakauk,hakauks,hakauks,o-,false,true,mono,
dok,1,twice as usual / make sth double amount / twice as much or as many / at twice amount or extent,NVAD,dok,dok,doks,doks,o-,false,false,,
dokdo,2,four times amount as usual / make sth four times amount / four times as much or as many / at four times amount or extent,NVAD,dokdo,dokdo,dokdos,dokdos,o-,false,true,mono,
dokfoi,2,eight times amount as usual / make sth eight times amount / eight times as much or as many / at eight times amount or extent,NVAD,dokfoi,dokfoi,dokfois,dokfois,o-,false,true,mono,
dokauk,2,sixteen times amount as usual / make sth sixteen times amount / sixteen times as much or as many / at sixteen times amount or extent,NVAD,dokauk,dokauk,dokauks,dokauks,o-,false,true,mono,
dise,2,facing / turn towards,NV,dise,dise,,,ae-,false,false,,
diserin,3,direction / directional,NA,dijserin,,disejrin,,ae-,false,true,mono,
nordi,2,north / northern,NA,nordi,,nordis,,ae-,false,false,,
sirdi,2,south / southern,NA,sirdi,,sirdis,,ae-,false,false,,
aerdi,2,east / eastern,NA,aerdi,,aerdis,,ae-,false,false,,
bordi,2,west / western,NA,bordi,,bordis,,ae-,false,false,,
aniu,2,zero / zero amount of / not,AD,,,anius,anius,o-,false,false,,
mo,1,one,,,,,,o-,true,false,,
do,1,two,,,,,,o-,true,false,,
ro,1,three,,,,,,o-,true,false,,
foi,1,four,,,,,,o-,true,false,,
tai,1,five,,,,,,o-,true,false,,
sro,1,six,,,,,,o-,true,false,,
lai,1,seven,,,,,,o-,true,false,,
auk,1,eight,,,,,,o-,true,false,,
wy,1,nine,,,,,,o-,true,false,,
gau,1,ten,,,,,,o-,true,false,,
mai,1,eleven,,,,,,o-,true,false,,
doi,1,twelve,,,,,,o-,true,false,,
rai,1,thirteen,,,,,,o-,true,false,,
cu,1,hundred,,,,,,o-,true,false,,
kas,1,thousand,,,,,,o-,true,false,,
hus,1,million,,,,,,o-,true,false,,
tus,1,billion,,,,,,o-,true,false,,
rakas,2,trillion,,,,,,o-,true,false,,
dir,1,ordinal particle,,,,,,o-,true,false,,
piroi,2,yesterday,N,piroi,,,,a-,false,true,mono,
paroi,2,tomorrow,N,paroi,,,,a-,false,true,mono,
imaroi,3,today / the present time,N,ijmaroi,,,,a-,false,true,mono,
pimaroi,3,day before yesterday,N,pijmaroi,,,,a-,false,true,mono,
pamaroi,3,day after tomorrow,N,pajmaroi,,,,a-,false,true,mono,
pima,2,things at exactly two step before / anything before the two step before (including the two step before) / further earlier,ND,pima,,,pimas,o-,false,false,mono,
pama,2,things at exactly two step after / anything after the two step after (including the two step after) / further later or further ahead,ND,pama,,,pamas,o-,false,false,mono,
esaka,3,always,D,,,,esavka,o-,false,true,mono,
srosaka,3,sometimes,D,,,,slosavka,o-,false,true,mono,
nasaka,3,never,D,,,,nasavka,o-,false,true,mono,
foragilan,4,volcano / volcanic,NA,forajgilan,,foragijlan,,ae-,false,true,mono,
lirahup,3,waterfall,N,lijrahup,,,,i-,false,true,mono,
roralumi,4,sunlight / sunshine,N,rorajlumi,,,,a-,false,true,mono,
yrelumi,4,moonlight / the ray of moonlight pass through the gaps of trees or sth / quiet with melancholy,NA,yrejlumi,,yrelujmi,,a-,false,true,mono,
theprusome,4,bedroom,N,theprujsome,,,,ae-,false,true,mono,
haminrusome,5,dining hall or dining room,N,haminrujsome,,,,ae-,false,true,mono,
latifmae,3,doctor / healer,N,lajtifmae,,,,a-,false,true,mono,
misomae,3,musician,N,mijsomae,,,,a-,false,true,mono,
misomaeha,4,musician (formal),N,misojmaeha,,,,a-,false,true,mono,
tesakmae,3,crafter / maker,N,tejsakmae,,,,a-,false,true,mono,
takamae,3,eater,N,tajkamae,,,,a-,false,true,mono,
feimae,2,pilot/aviator,N,feimae,,,,a-,false,true,mono,
kuptek,2,cutlery / cutter / any cutting tools,N,kuptek,,,,e-,false,true,mono,
tesaktek,3,creation tool,N,tejsaktek,,,,e-,false,true,mono,
shukrin,2,speed,N,shukrin,,,,o-,false,true,mono,
ralirin,3,size,N,rajlirin,,,,o-,false,true,mono,
tesakpar,3,creation (act of creating),N,tejsakpar,,,,e-,false,true,mono,
bau pos,2,bakery,N,bau pos,,,,ae-,false,true,multi,
hamin pos,3,restaurant / canteen,N,hamin pos,,,,ae-,false,true,multi,
oslise isra,5,existentialism,N,oslise isra,,,,o-,false,true,multi,
afaloi taka,5,edible,A,,,afaloi taka,,a-,false,true,multi,
lira naras,4,waterless,A,,,lira naras,,i-,false,true,multi,
gilan fora,4,wildfire / fire on mountain,N,gilan fora,,,,a-,false,true,multi,
orse,2,"also, too, as well",,,,,,o-,true,false,,"additive adverb: also, too, as well"
aewei,2,Who?,,,,,,o-,true,false,,question word
ewei,2,What?,,,,,,o-,true,false,,question word
iwei,2,Where?,,,,,,o-,true,false,,question word
owei,2,When?,,,,,,o-,true,false,,question word
uwei,2,How?,,,,,,o-,true,false,,question word
ywei,2,Why?,,,,,,o-,true,false,,question word
awei,2,Which?,,,,,,o-,true,false,,question word
aeweisan,3,Whose?,,,,,,o-,true,false,,question word (genitive of aewei)
ki,1,I,,,,,,o-,true,false,,"personal pronoun, 1st singular"
kin,1,me (ACC),,,,,,o-,true,false,,"personal pronoun, 1st singular accusative"
kis,1,my (GEN),,,,,,o-,true,false,,"personal pronoun, 1st singular genitive"
ti,1,you (sg),,,,,,o-,true,false,,"personal pronoun, 2nd singular"
tin,1,you (sg ACC),,,,,,o-,true,false,,"personal pronoun, 2nd singular accusative"
tis,1,your (sg GEN),,,,,,o-,true,false,,"personal pronoun, 2nd singular genitive"
si,1,he/she/they (sg),,,,,,o-,true,false,,"personal pronoun, 3rd living singular"
sin,1,him/her/them (sg ACC),,,,,,o-,true,false,,"personal pronoun, 3rd living singular accusative"
sis,1,his/her/their (sg GEN),,,,,,o-,true,false,,"personal pronoun, 3rd living singular genitive"
ni,1,it (sg),,,,,,o-,true,false,,"personal pronoun, 3rd non-living singular"
nin,1,it (sg ACC),,,,,,o-,true,false,,"personal pronoun, 3rd non-living singular accusative"
nis,1,its (sg GEN),,,,,,o-,true,false,,"personal pronoun, 3rd non-living singular genitive"
ikne,2,inside,,,,,,o-,true,false,,spatial postposition (-ne suffix)
oukne,2,outside,,,,,,o-,true,false,,spatial postposition (-ne suffix)
umne,2,under,,,,,,o-,true,false,,spatial postposition (-ne suffix)
rapne,2,above,,,,,,o-,true,false,,spatial postposition (-ne suffix)
haune,2,behind,,,,,,o-,true,false,,spatial postposition (-ne suffix)
paune,2,in front of,,,,,,o-,true,false,,spatial postposition (-ne suffix)
hinne,2,beside; near,,,,,,o-,true,false,,spatial postposition (-ne suffix)
tene,2,towards,,,,,,o-,true,false,,spatial postposition (-ne suffix)
orane,3,along,,,,,,o-,true,false,,spatial postposition (-ne suffix)
meipone,3,around,,,,,,o-,true,false,,spatial postposition (-ne suffix)
ema,2,truth / true / real / truely / without a doubt,NAD,ema,,emas,emas,o-,false,false,,base root for emlu (truth); section I
lise,2,assigned state; divine season; appointed time; providential ordering; sacred rhythm,N,lise,,,,o-,false,false,,Core root. Source of the grammaticalised -lise suffix (borrowed from maelise).
hal,1,hope / to hope / prospect / to prospect,NV,hal,hal,,,e-,false,false,,Everyday/personal hope. Contrast with halise (wish/prayer).
hop,1,luck / to bless / lucky,NVA,hop,hop,hops,,o-,false,false,,Informal. Formal variant: hoplise.
lumin,2,brightness / bright,NA,lumin,,lumins,,o-,false,false,,
maelise,3,human fate; mortal destiny; the appointed condition of humanity,N,maejlise,,,,o-,false,true,mono,Original source word for the -lise suffix. Literally 'human-fate'.
elise,3,lifetime; appointed span of life / to live out one's days / alive with the fullness of life; vital,NVA,ejlise,evlise,elijse,,a-,false,true,mono,
milise,3,appointed death; time of dying / sacrifice / to die an ordained death; to be given over to death / to sacrifice / to fade away / toward death; until death,NVD,mijlise,mivlise,,milivse,a-,false,true,mono,
hoplise,3,formal blessing; benediction / to bestow a formal blessing / formally blessed,NVA,hojplise,hovplise,hoplijse,,o-,false,true,mono,Formal variant of hop.
gorlise,3,good fortune; appointed goodness / fortunate; blessed with good timing,NA,gojrlise,,gorlijse,,o-,false,true,mono,
bonaklise,4,appointed adversity; season of hardship / misfortunate; afflicted by ordained trial / by unfortunate appointment,NAD,bonajklise,,bonaklijse,bonaklivse,o-,false,true,mono,
luminlise,4,bright turning; appointed dawn; season of hope / having a good luck in future,N,lumijnlise,,,,o-,false,true,mono,
mylise,3,dark turning; appointed dusk; season of foreboding / having a bad luck in future,N,myjlise,,,,y-,false,true,mono,
huplise,3,appointed decline; time of falling / apocalypse,N,hujplise,,,,o-,false,true,mono,
