bare_root,syl,meaning,section,noun,verb,adjective,adverb,consensus_prefix,is_function_word,derivation_mask,notes
niba,2,new,E,niba,niba,nibas,nibas,o-,false,AD,
noba,2,old,E,noba,noba,nobas,nobas,o-,false,AD,
hik,1,sad,E,hik,hik,hiks,hiks,o-,false,AD,
asdo,2,know,F,asdo,asdo,asdos,asdos,o-,false,VAD,
thy,1,think,F,thy,thy,thys,thys,o-,false,VAD,
argonna,3,love,F,ajrgonna,avrgonna,argojnna,argovnna,o-,false,NVAD,
wamy,2,fear,F,wamy,wamy,wamys,wamys,o-,false,NVAD,
losga,2,anger / rage,F,losga,losga,losgas,losgas,o-,false,NVAD,
losto,2,joy / happiness,F,losto,losto,lostos,lostos,o-,false,NVAD,
hax,1,pain / suffering,F,hax,hax,haxs,haxs,o-,false,NVAD,
roi,1,day,G,roi,roi,rois,rois,o-,false,NVAD,
rok,1,night,G,rok,rok,roks,roks,o-,false,NVAD,
tar,1,dusk,G,tar,tar,tars,tars,o-,false,NVAD,
ima,2,now,G,ima,ima,imas,imas,o-,false,NAD,
tilpi,2,before,G,tilpi,tilpi,tilpis,tilpis,o-,false,NA,
tilpa,2,after,G,tilpa,tilpa,tilpas,tilpas,o-,false,NAD,
thin,1,here / this,G,thin,thin,thins,thins,o-,false,NAD,
tha,1,there / that,G,tha,tha,thas,thas,o-,false,NAD,
poska,2,place / location,G,poska,poska,poskas,poskas,o-,false,NA,
ik,1,in,G,ik,ik,iks,iks,o-,false,NAD,
ouk,1,out,G,ouk,ouk,ouks,ouks,o-,false,NAD,
um,1,under,G,um,um,ums,ums,o-,false,NAD,
hau,1,back,G,hau,hau,haus,haus,o-,false,NAD,
pau,1,front,G,pau,pau,paus,paus,o-,false,NAD,
hin,1,side,G,hin,hin,hins,hins,o-,false,NAD,
ora,2,along,G,ora,ora,oras,oras,o-,false,NAD,
meipo,2,around,G,meipo,meipo,meipos,meipos,o-,false,NAD,
orak,2,across,G,orak,orak,oraks,oraks,o-,false,NAD,
inou,2,through / via,G,inou,inou,inous,inous,o-,false,NAD,
tlow,1,time,G,tlow,tlow,tlows,tlows,o-,false,NA,
shu,1,soon,G,shu,shu,shus,shus,o-,false,AD,
sar,1,late,G,sar,sar,sars,sars,o-,false,AD,
cho,1,early,G,cho,cho,chos,chos,o-,false,AD,
amo,2,again,G,amo,amo,amos,amos,o-,false,AD,
fou,1,during,G,fou,fou,fous,fous,o-,false,AD,
founai,2,duration,G,founai,founai,founais,founais,o-,false,N,
sakar,2,occurrence / frequency,G,sakar,sakar,sakars,sakars,o-,false,N,
esa,2,all / every,G,esa,esa,esas,esas,o-,false,AD,
slote,2,some,G,slote,slote,slotes,slotes,o-,false,AD,
mi,1,name,H,mi,mi,mis,mis,o-,false,NVA,
berat,2,word / speech,H,berat,berat,berats,berats,o-,false,NVA,
song,1,friend,H,song,song,songs,songs,o-,false,N,
loger,2,power / strength,H,loger,loger,logers,logers,o-,false,NA,
eli,2,life,H,eli,eli,elis,elis,a-,false,N,
mil,1,death,H,mil,mil,mils,mils,o-,false,N,
maekoi,2,spirit / soul,I,maekoi,maekoi,maekois,maekois,o-,false,NA,
emlu,2,truth,I,emlu,emlu,emlus,emlus,o-,false,NA,
noi,1,void / emptiness,I,noi,noi,nois,nois,o-,false,NA,
sinkoi,2,alone / solitude,I,sinkoi,sinkoi,sinkois,sinkois,o-,false,NA,
ilsinkoi,3,together,I,ijlsinkoi,ivlsinkoi,ilsijnkoi,ilsivnkoi,o-,false,NAD,
pireilu,3,property / quality,I,pijreilu,pivreilu,pireijlu,pireivlu,o-,false,N,
rinok,2,measure / measurement,I,rinok,rinok,rinoks,rinoks,o-,false,N,
chap,1,act / deed,I,chap,chap,chaps,chaps,o-,false,N,
param,2,result,I,param,param,params,params,o-,false,N,
lokisra,3,doctrine / system of thought,I,lokjisra,lokvisra,lokisjra,lokisvra,o-,false,N,
isra,2,idea,I,isra,isra,isras,isras,o-,false,NA,
narau,2,without / lack,I,narau,narau,naraus,naraus,o-,false,N,
auli,2,comet,A,auli,auli,aulis,aulis,o-,false,N,
wino,2,colour / hue,J,wino,wino,winos,winos,o-,false,NVA,
res,1,copula - identity/attribution,-,res,res,res,res,,true,,
ero,2,existential & possession - there is/have,-,ero,ero,eros,eros,,true,,
nar,1,clausal/constituent negation,-,nar,nar,nar,nar,,true,,
iu,1,yes/no question + affirmative answer,-,iu,iu,iu,iu,,true,,
na,1,negative answer (no),-,na,na,na,na,,true,,
te,1,dative particle (to) & spatial root (towards),-,te,te,te,te,,true,,
we,1,intensify,D,we,we,wes,wes,,false,D,
mere,2,be slight (intensity),D,mere,mere,meres,meres,,false,D,
pere,2,small amount,E,pere,pere,peres,peres,o-,false,D,
tor,,comparative particle (than),,,,,true,closed-class; toneless; -s exempt,,,
les,,equative particle (as),,,,,true,closed-class; toneless; -s exempt,,,
torra,,superlative particle (most),,,,,true,closed-class; toneless; -s exempt; fused from tor + rap,,,
wetor,,intensified comparative (much more than),,,,,true,closed-class; toneless; -s exempt; fused from wes + tor,,,
mangus,,restrictive (among/among all),,,,,true,closed-class; toneless; -s exempt,,,
rap,1,top / peak,G,rap,rap,raps,raps,o-,false,NAD,
hu,1,wind,A,hu,hu,hus,hus,o-,false,NA,
hupli,2,rain,A,hupli,hupli,huplis,huplis,o-,false,NVA,
shili,2,river,A,shili,shili,shilis,shilis,o-,false,NA,
blusa,2,wave,A,blusa,blusa,blusas,blusas,o-,false,NVA,
wonli,2,sea,A,wonli,wonli,wonlis,wonlis,o-,false,NA,
wonar,2,ocean,A,wonar,wonar,wonars,wonars,o-,false,NA,
liforli,3,flood,A,lijforli,livforli,liforjli,liforvli,o-,false,NVA,
aron,2,season,A,aron,aron,arons,arons,o-,false,N,
apar,2,spring,A,apar,apar,apars,apars,o-,false,N,
gustar,2,summer,A,gustar,gustar,gustars,gustars,o-,false,N,
choumar,2,autumn,A,choumar,choumar,choumars,choumars,o-,false,N,
fossar,2,winter,A,fossar,fossar,fossars,fossars,o-,false,N,
maur,1,second,G,maur,maur,maurs,maurs,o-,false,N,
faur,1,minute,G,faur,faur,faurs,faurs,o-,false,N,
tlaur,1,hour,G,tlaur,tlaur,tlaurs,tlaurs,o-,false,N,
taroi,2,week,G,taroi,taroi,tarois,tarois,o-,false,N,
gauroi,2,ten-day,G,gauroi,gauroi,gaurois,gaurois,o-,false,N,
yra,2,month,G,yra,yra,yras,yras,o-,false,N,
ron,1,year,G,ron,ron,rons,rons,o-,false,N,
gauron,2,decade,G,gauron,gauron,gaurons,gaurons,o-,false,N,
curon,2,century,G,curon,curon,curons,curons,o-,false,N,
gus,1,hot,E,gus,gus,gus,gus,o-,false,AD,
fem,2,cool,E,fem,fem,fems,fems,o-,false,AD,
fos,1,ice / freeze,A,fos,fos,fos,fos,o-,false,NVA,
fosli,2,snow,A,fosli,fosli,foslis,foslis,o-,false,NVA,
foske,2,frost,A,foske,foske,foskes,foskes,o-,false,NA,
foshu,2,blizzard,A,foshu,foshu,foshus,foshus,o-,false,N,
fosgilan,3,glacier,A,fosjgilan,fosvgilan,fosgijlan,fosgivlan,o-,false,N,
fosblon,2,avalanche,A,fosblon,fosblon,fosblons,fosblons,o-,false,NVA,
foskaera,3,frozen soil,A,fosjkaera,fosvkaera,foskaejra,foskaevra,o-,false,NA,
blon,1,collapse,D,blon,blon,blons,blons,o-,false,NVAD,
hup,1,fall,D,hup,hup,hups,hups,o-,false,NVAD,
rolifor,3,excess,E,rojlifor,rovlifor,rolijfor,rolivfor,o-,false,AD,
aus,1,start-of,G,aus,aus,aus,aus,o-,false,N,
oug,1,end,G,oug,oug,ougs,ougs,o-,false,N,
ous,1,end-of,G,ous,ous,ous,ous,o-,false,N,
taroinous,3,weekend,G,taroinous,taroinous,taroinous,taroinous,o-,false,N,
faure,2,5min,G,faure,faure,faures,faures,o-,false,N,
tlaure,2,30min,G,tlaure,tlaure,tlaures,tlaures,o-,false,N,
afaloi,3,ability / able to,H,afaloi,afaloi,afaloi,afaloi,o-,false,NV,
sew,1,can,H,sew,sew,sews,sews,o-,false,VAD,
hostak,2,must,H,hostak,hostak,hostaks,hostaks,o-,false,VAD,
mug,1,want,H,mug,mug,mugs,mugs,o-,false,VAD,
som,1,need,H,som,som,soms,soms,o-,false,VAD,
shunle,2,should,H,shunle,shunle,shunles,shunles,o-,false,VAD,
hostakes,3,certainly / must have (deduction),H,hosjtakes,hosvtakes,hostajkes,hostavkes,o-,false,D,
sewanes,3,might / perhaps / could be,H,sejwanes,sevwanes,sewajnes,sewavnes,o-,false,D,
bamares,3,would have (counterfactual),H,bajmares,bavmares,bamajres,bamavres,o-,false,D,
chorogor,3,good morning,H,chorogor,chorogor,chorogor,chorogor,o-,false,N,
sarrogor,3,good afternoon,H,sarrogor,sarrogor,sarrogor,sarrogor,o-,false,N,
targor,2,good evening,H,targor,targor,targors,targors,o-,false,N,
rokgor,2,good night,H,rokgor,rokgor,rokgors,rokgors,o-,false,N,
pem,1,inclusive or (either or both),-,pem,pem,pem,pem,,true,,
pona,2,xnor (both or neither),-,pona,pona,pona,pona,,true,,
pemna,2,nor (neither...nor),-,pemna,pemna,pemna,pemna,,true,,
sor,1,suggestion particle (sentence-final),-,sor,sor,sor,sor,,true,,
chom,1,polite request particle (pre-verbal),-,chom,chom,chom,chom,,true,,
maug,1,strong prohibition particle (pre-verbal),-,maug,maug,maug,maug,,true,,
gin,1,progressive aspect (be X-ing),-,gin,gin,gin,gin,,true,,
ger,1,perfective aspect (have X-ed),-,ger,ger,ger,ger,,true,,
gou,1,experiential aspect (have X-ed before),-,gou,gou,gou,gou,,true,,
hei,1,hello / hey (vocative),I,hei,hei,heis,heis,o-,false,NAD,
shen,1,self (reflexive),I,shen,shen,shens,shens,a-,false,N,
meshen,2,each other (reciprocal),I,meshen,meshen,meshens,meshens,o-,false,D,
mer,,comitative particle (with),-,mer,mer,mer,mer,,true,,
sy,,instrumental & passive particle (by/with),-,sy,sy,sy,sy,,true,,
ar,,ablative particle (from),-,ar,ar,ar,ar,,true,,
tilpe,,locative-relational particle (between),-,tilpe,tilpe,tilpe,tilpe,,true,,
ei,,coordinator (and),-,ei,ei,ei,ei,,true,,
po,,exclusive or (either but not both),-,po,po,po,po,,true,,
amer,,adversative (but/however),-,amer,amer,amer,amer,,true,,
tu,,temporal subordinator (when/while),-,tu,tu,tu,tu,,true,,
li,,conditional subordinator (if),-,li,li,li,li,,true,,
bam,,consequential particle (then / 便/就),-,bam,bam,bam,bam,,true,,
aiga,,causal subordinator (because),-,aiga,aiga,aiga,aiga,,true,,
hoskar,,concessive subordinator (although),-,hoskar,hoskar,hoskar,hoskar,,true,,
arfi,,concessive intensifier (even),-,arfi,arfi,arfi,arfi,,true,,
fidak,,purpose subordinator (in order to),-,fidak,fidak,fidak,fidak,,true,,
kus,,relativizer & complementizer (that/which),-,kus,kus,kus,kus,,true,,
halise,3,hope / wish,I,hajlise,havlise,halijse,halivse,o-,false,NVAD,
min,1,let (permissive),H,min,min,mins,mins,o-,false,VAD,
mingo,2,make / force (使/令),H,mingo,mingo,mingos,mingos,o-,false,VAD,
ma,1,mom,H,ma,ma,mas,mas,a-,false,N,
mamae,2,mother,H,mamae,mamae,mamaes,mamaes,a-,false,N,
fa,1,dad,H,fa,fa,fas,fas,a-,false,N,
famae,2,father,H,famae,famae,famaes,famaes,a-,false,N,
lorrak,2,language,H,lorrak,lorrak,lorraks,lorraks,a-,false,NA,
wug,1,dog,B,wug,wug,wugs,wugs,a-,false,N,
mau,1,cat,B,mau,mau,maus,maus,a-,false,N,
onla,2,leaves,B,onla,onla,onlas,onlas,u-,false,N,
walunla,3,forest,A,walunla,walunla,walunlas,walunlas,u-,false,NA,
rori,2,sunrise,A,rori,rori,roris,roris,a-,false,N,
aura,2,celestial object,A,aura,aura,auras,auras,o-,false,NA,
auron,2,sky,A,auron,auron,aurons,aurons,i-,false,NA,
aurok,2,cosmic / space,A,aurok,aurok,auroks,auroks,i-,false,NA,
auronte,3,dome / canopy,A,auronte,auronte,aurontes,aurontes,i-,false,N,
thung,1,swim,D,thung,thung,thungs,thungs,o-,false,VAD,
latif,2,heal / save,D,latif,latif,latifs,latifs,o-,false,VAD,
argonnia,4,grace / grateful,F,argonnia,argonnia,argonnias,argonnias,o-,false,NA,
miso,2,music,J,miso,miso,misos,misos,o-,false,NA,
bop,1,bottom / down,G,bop,bop,bops,bops,o-,false,NAD,
hap,1,right,G,hap,hap,haps,haps,o-,false,NAD,
fap,1,left,G,fap,fap,faps,faps,o-,false,NAD,
arrin,2,distance,G,arrin,arrin,arrins,arrins,o-,false,NA,
arrinna,3,distant,G,arrinna,arrinna,arrinnas,arrinnas,o-,false,AD,
hak,1,half,I,hak,hak,haks,haks,o-,false,NAD,
hakdo,2,one-fourth,I,hakdo,hakdo,hakdos,hakdos,o-,false,N,
hakfoi,2,one-eighth,I,hakfoi,hakfoi,hakfois,hakfois,o-,false,N,
hakauk,2,one-sixth,I,hakauk,hakauk,hakauks,hakauks,o-,false,N,
dok,1,double,I,dok,dok,doks,doks,o-,false,NAD,
dokdo,2,four times,I,dokdo,dokdo,dokdos,dokdos,o-,false,N,
dokfoi,2,eight times,I,dokfoi,dokfoi,dokfois,dokfois,o-,false,N,
dokauk,2,sixteen times,I,dokauk,dokauk,dokauks,dokauks,o-,false,N,
dise,2,head / facing,G,dise,dise,dises,dises,o-,false,NVAD,
diserin,3,direction,G,diserin,diserin,diserins,diserins,o-,false,NA,
nordi,2,north,G,nordi,nordi,nordis,nordis,o-,false,NA,
sirdi,2,south,G,sirdi,sirdi,sirdis,sirdis,o-,false,NA,
aerdi,2,east,G,aerdi,aerdi,aerdis,aerdis,o-,false,NA,
bordi,2,west,G,bordi,bordi,bordis,bordis,o-,false,NA,
aniu,2,zero,I,aniu,aniu,aniu,aniu,o-,true,,
mo,1,one,I,mo,mo,mo,mo,o-,true,,
do,1,two,I,do,do,do,do,o-,true,,
ro,1,three,I,ro,ro,ro,ro,o-,true,,
foi,1,four,I,foi,foi,foi,foi,o-,true,,
tai,1,five,I,tai,tai,tai,tai,o-,true,,
slo,1,six,I,slo,slo,slo,slo,o-,true,,
lai,1,seven,I,lai,lai,lai,lai,o-,true,,
auk,1,eight,I,auk,auk,auk,auk,o-,true,,
wy,1,nine,I,wy,wy,wy,wy,o-,true,,
gau,1,ten,I,gau,gau,gau,gau,o-,true,,
mai,1,eleven,I,mai,mai,mai,mai,o-,true,,
doi,1,twelve,I,doi,doi,doi,doi,o-,true,,
rai,1,thirteen,I,rai,rai,rai,rai,o-,true,,
cu,1,hundred,I,cu,cu,cu,cu,o-,true,,
kas,1,thousand,I,kas,kas,kas,kas,o-,true,,
hus,1,million,I,hus,hus,hus,hus,o-,true,,
tus,1,billion,I,tus,tus,tus,tus,o-,true,,
rakas,2,trillion,I,rakas,rakas,rakas,rakas,o-,true,,
dir,1,ordinal particle,I,dir,dir,dir,dir,o-,true,,
piroi,2,yesterday,G,piroi,piroi,pirois,pirois,o-,false,N,
paroi,2,tomorrow,G,paroi,paroi,parois,parois,o-,false,N,
imaroi,3,today,G,imaroi,imaroi,imarois,imarois,o-,false,N,
pimaroi,3,day before yesterday,G,pimaroi,pimaroi,pimarois,pimarois,o-,false,N,
pamaroi,3,day after tomorrow,G,pamaroi,pamaroi,pamarois,pamarois,o-,false,N,
pima,2,earlier / further back,G,pima,pima,pimas,pimas,o-,false,NAD,
pama,2,later / further ahead,G,pama,pama,pamas,pamas,o-,false,NAD,
esaka,3,always,G,esaka,esaka,esakas,esakas,o-,false,AD,
slosaka,3,sometimes,G,slosaka,slosaka,slosakas,slosakas,o-,false,AD,
nasaka,3,never,G,nasaka,nasaka,nasakas,nasakas,o-,false,AD,
foragilan,4,volcano,A,foragilan,foragilan,foragilans,foragilans,a-,false,NA,
lirahup,3,waterfall,A,lirahup,lirahup,lirahups,lirahups,i-,false,N,
roralumi,4,sunlight,A,roralumi,roralumi,roralumis,roralumis,o-,false,N,
yrelumi,4,moonlight,A,yrelumi,yrelumi,yrelumis,yrelumis,o-,false,N,
theprusome,4,bedroom,C,theprusome,theprusome,theprusomes,theprusomes,ae-,false,N,
haminrusome,5,dining room,C,haminrusome,haminrusome,haminrusomes,haminrusomes,ae-,false,N,
